,index,tconst,originalTitle,genres,averageRating,startYear,endYear
86,40304,tt0041025,The Front Page,"Comedy,Drama",6.4,1949,1950
87,40305,tt0041026,Front Row Center,"Comedy,Family,Music",7.5,1949,1950
88,40306,tt0041027,The Goldbergs,Comedy,7.2,1949,1957
89,40307,tt0041028,Hold It Please,"Family,Game-Show",5.3,1949,\N
90,40308,tt0041029,Hollywood House,Comedy,6.7,1949,1950
91,40309,tt0041030,Hopalong Cassidy,"Family,Western",5.4,1952,1954
92,40310,tt0041031,Inside U.S.A. with Chevrolet,"Comedy,Music",4.7,1949,1950
93,40311,tt0041032,Jack Leonard,\N,5.8,1949,\N
94,40312,tt0041033,The Jacques Fray Music Room,Music,6.0,1949,\N
95,40313,tt0041034,Kay Kyser's Kollege of Musical Knowledge,"Comedy,Family,Game-Show",5.9,1949,\N
96,40314,tt0041035,Leave It to the Girls,"Family,Talk-Show",6.5,1949,1954
97,40315,tt0041036,The Life of Riley,Comedy,7.3,1948,1950
98,40316,tt0041037,Lights Out,"Horror,Mystery,Sci-Fi",7.1,1946,1952
99,40317,tt0041038,The Lone Ranger,Western,4.0,1949,1957
100,40318,tt0041039,Mama,"Comedy,Drama,Family",4.9,1949,1957
101,40319,tt0041040,Man Against Crime,"Action,Crime,Drama",4.9,1949,1954
102,40320,tt0041041,Manhattan Showcase,\N,5.7,1949,\N
103,40321,tt0041042,"Martin Kane, Private Eye",Drama,6.9,1949,1954
104,40322,tt0041043,The Molly Picon Show,\N,4.5,1949,\N
105,40323,tt0041044,Mr. I. Magination,"Family,Western",4.7,1949,1952
106,40324,tt0041045,Mysteries of Chinatown,"Crime,Drama",6.9,1949,1950
107,40325,tt0041046,The O'Neills,"Drama,Family",5.2,1949,1950
108,40326,tt0041047,Arch Oboler's Comedy Theatre,Comedy,6.3,1949,\N
109,40327,tt0041048,One Man's Family,Drama,5.3,1949,1955
110,40328,tt0041049,The Paul Whiteman's Goodyear Revue,Music,6.2,1949,1952
111,40329,tt0041050,The Ruggles,"Comedy,Family",6.9,1949,1952
112,40330,tt0041051,School House,"Comedy,Family,Music",6.7,1949,\N
113,40331,tt0041052,Sessions,\N,5.8,1949,\N
114,40332,tt0041053,The Silver Theatre,"Drama,Romance",6.3,1949,1950
115,40333,tt0041054,Starring Boris Karloff,Drama,6.1,1949,\N
116,40334,tt0041055,Stop the Music,Game-Show,7.5,1950,1956
117,40335,tt0041056,Stump the Authors,"Family,Game-Show",5.4,1946,\N
118,40336,tt0041057,Sugar Hill Times,"Comedy,Music",7.7,1949,\N
119,40337,tt0041058,Sunday Date,Music,7.6,1949,\N
120,40338,tt0041059,Sunday at Home,"Game-Show,Music",6.4,1949,\N
121,40339,tt0041060,Super Circus,Family,4.7,1950,\N
122,40340,tt0041061,Suspense,"Drama,Mystery,Thriller",6.9,1949,1954
123,40341,tt0041062,TV Teen Club,Music,6.5,1949,1954
124,40342,tt0041063,That Wonderful Guy,Comedy,7.9,1949,1950
125,40343,tt0041064,Think Fast,"Family,Game-Show",6.6,1949,1950
126,40344,tt0041065,This Is Show Business,"Family,Talk-Show",6.1,1949,1956
127,40345,tt0041066,U.S. Marine Band,Music,5.2,1949,\N
128,40346,tt0041067,Vaudeo Varieties,"Comedy,Music",6.3,1949,\N
129,40347,tt0041068,Versatile Varieties,"Family,Music",5.9,1949,1951
130,40348,tt0041069,The Voice of Firestone,Music,6.0,1949,1963
131,40349,tt0041070,Volume One,"Drama,Horror,Mystery",5.6,1949,\N
132,40350,tt0041071,Wayne King,Music,8.7,1949,1952
133,40351,tt0041072,The Wendy Barrie Show,Family,6.0,1948,1950
134,40352,tt0041073,Wesley,Comedy,7.6,1949,\N
135,40353,tt0041074,What Do You Think?,\N,7.8,1949,\N
136,40354,tt0041075,Window on the World,"Comedy,Family,Music",9.2,1949,\N
137,40355,tt0041076,Your Show Time,Drama,6.0,1949,1949
138,40356,tt0041077,Your Witness,Drama,6.6,1949,1950
139,40357,tt0041078,Youth on the March,\N,6.2,1949,1953
140,41326,tt0042068,Abe Burrows' Almanac,"Comedy,Music,Talk-Show",6.7,1950,\N
141,41327,tt0042069,The Adventures of Ellery Queen,"Crime,Drama,Mystery",4.5,1950,1956
142,41328,tt0042070,The Alan Young Show,Comedy,6.1,1950,1953
143,41329,tt0042071,Alkali Ike,"Comedy,Western",7.5,1950,\N
144,41330,tt0042072,American Forum of the Air,Talk-Show,6.8,1950,1952
145,41331,tt0042073,Answer Yes or No,"Family,Game-Show",5.1,1950,\N
146,41332,tt0042074,Armstrong Circle Theatre,Drama,7.3,1950,1963
147,41333,tt0042075,Around the Town,\N,4.2,1950,\N
148,41334,tt0042076,Art Ford on Broadway,\N,4.5,1950,\N
149,41335,tt0042077,Arthur Godfrey and His Ukulele,Music,6.3,1950,\N
150,41336,tt0042078,The Arthur Murray Party,"Family,Music",6.9,1950,1960
151,41337,tt0042079,Battle Report,"Documentary,War",5.2,1950,1952
152,41338,tt0042080,Beat the Clock,"Family,Game-Show",6.8,1950,1961
153,41339,tt0042081,Beulah,Comedy,6.8,1950,1953
154,41340,tt0042082,Big Top,Family,9.5,1950,1957
155,41341,tt0042083,Big Town,Drama,3.9,1950,1956
156,41342,tt0042084,The Bigelow Theatre,"Drama,Family",5.9,1950,1951
157,41343,tt0042085,Billy Boone and Cousin Kib,Family,4.6,1950,\N
158,41344,tt0042086,The Billy Rose Show,Drama,5.5,1950,1951
159,41345,tt0042087,By Popular Demand,"Family,Game-Show",6.4,1950,\N
160,41346,tt0042088,Can You Top This,"Family,Game-Show",5.5,1950,\N
161,41347,tt0042089,Cavalcade of Bands,"Family,Music",5.4,1950,1951
162,41348,tt0042091,Chance of a Lifetime,"Family,Game-Show",4.8,1950,1951
163,41349,tt0042092,"Charlie Wild, Private Detective","Crime,Drama",7.6,1950,1952
164,41350,tt0042093,The Cisco Kid,Western,5.3,1950,1956
165,41351,tt0042094,The Colgate Comedy Hour,"Comedy,Romance",6.7,1950,1955
166,41352,tt0042095,The College Bowl,"Comedy,Family",7.3,1950,1951
167,41353,tt0042096,Crash Corrigan's Ranch,"Family,Music,Western",4.5,1950,\N
168,41354,tt0042097,Crusader Rabbit,"Animation,Comedy,Family",6.3,1950,1957
169,41355,tt0042098,Danger,Drama,9.6,1950,1955
170,41356,tt0042099,Detective's Wife,Comedy,9.9,1950,\N
171,41357,tt0042100,Dick Tracy,"Crime,Drama",6.8,1950,1952
172,41358,tt0042101,Escape,Drama,3.7,1950,\N
173,41359,tt0042102,The Faye Emerson Show,"Family,Talk-Show",6.0,1949,\N
174,41360,tt0042104,The First Hundred Years,Drama,6.5,1950,1952
175,41361,tt0042105,Ford Star Revue,"Comedy,Music",6.4,1950,\N
176,41362,tt0042106,Four Star Revue,Comedy,6.4,1950,\N
177,41363,tt0042107,The Frank Sinatra Show,Music,6.8,1950,1952
178,41364,tt0042108,The Gabby Hayes Show,"Family,Western",6.1,1950,1954
179,41365,tt0042109,The Garry Moore Show,Comedy,6.2,1950,1958
180,41366,tt0042110,The Gene Autry Show,"Family,Western",5.6,1950,1955
181,41367,tt0042111,The George Burns and Gracie Allen Show,Comedy,6.3,1950,1958
182,41368,tt0042112,The Girls,Comedy,5.2,1950,\N
183,41369,tt0042113,Holiday Hotel,"Comedy,Music",7.0,1950,1951
184,41370,tt0042114,The Honeymooners,"Comedy,Family",6.5,1955,1956
185,41371,tt0042115,I Cover Times Square,Drama,5.0,1950,1951
186,41372,tt0042116,The Jack Benny Program,Comedy,8.7,1950,1965
187,41373,tt0042117,The Saturday Night Revue with Jack Carter,"Comedy,Music",6.5,1950,1951
188,41374,tt0042118,Joey Faye's Frolics,Comedy,6.3,1950,\N
189,41375,tt0042119,The Ken Murray Show,"Comedy,Music",6.3,1950,1953
190,41376,tt0042120,Leave It to Papa,Comedy,6.2,1950,\N
191,41377,tt0042121,Life with Snarky Parker,Family,6.2,1950,\N
192,41378,tt0042122,"Lights, Camera, Action!",\N,6.2,1950,\N
193,41379,tt0042123,Lux Video Theatre,"Comedy,Drama",6.5,1950,1959
194,41380,tt0042124,Mama Rosa,Comedy,6.9,1950,\N
195,41381,tt0042125,The Marshal of Gunsight Pass,Western,5.6,1950,\N
196,41382,tt0042126,The Most Important People,Music,6.9,1950,1951
197,41383,tt0042127,Nash Airflyte Theatre,Drama,6.2,1950,1951
198,41384,tt0042128,Old Fashioned Meeting,\N,7.0,1950,1951
199,41385,tt0042129,Panhandle Pete and Jennifer,Family,6.3,1950,\N
200,41386,tt0042130,Pantomime Quiz,Game-Show,5.6,1947,\N
201,41387,tt0042131,Party Time at Club Roma,"Comedy,Music",2.6,1950,1951
202,41388,tt0042132,Penthouse Party,"Comedy,Music,Talk-Show",4.9,1950,1951
203,41389,tt0042133,The Peter Lind Hayes Show,"Comedy,Music",4.5,1950,1951
204,41390,tt0042134,The Pinky Lee Show,"Comedy,Family,Music",6.5,1950,\N
205,41391,tt0042135,The Popsicle Parade of Stars,"Comedy,Music",6.4,1950,\N
206,41392,tt0042136,Prize Performance,Music,6.2,1950,\N
207,41393,tt0042137,The Prudential Family Playhouse,Drama,7.0,1950,1951
208,41394,tt0042138,Pulitzer Prize Playhouse,Drama,6.3,1950,1952
209,41395,tt0042139,Racket Squad,"Crime,Drama",5.3,1950,1953
210,41396,tt0042140,Rhythm Rodeo,"Family,Music",6.9,1950,1951
211,41397,tt0042141,Robert Montgomery Presents,Drama,6.8,1950,1957
212,41398,tt0042142,Inside Detective,"Action,Crime,Drama",7.3,1950,1954
213,41399,tt0042143,Rootie Kazootie,Family,4.4,1952,\N
214,41400,tt0042144,Somerset Maugham TV Theatre,Drama,3.8,1950,1951
215,41401,tt0042145,Songs for Sale,\N,7.2,1950,1952
216,41402,tt0042146,The Stage Door,\N,7.2,1950,\N
217,41403,tt0042147,Star Time,"Comedy,Family,Music",8.0,1950,1951
218,41404,tt0042148,Star of the Family,"Comedy,Music,Talk-Show",4.7,1950,1952
219,41405,tt0042149,Starlit Time,"Comedy,Family,Music",6.3,1950,\N
220,41406,tt0042150,The Steve Allen Show,Comedy,5.9,1952,\N
221,41407,tt0042151,The Stu Erwin Show,Comedy,7.9,1950,1955
222,41408,tt0042152,Sure As Fate,Drama,4.6,1950,1951
223,41409,tt0042153,The Susan Raye Show,"Family,Music",6.2,1950,\N
224,41410,tt0042154,Take a Chance,Game-Show,5.3,1950,\N
225,41411,tt0042155,Three's Company,Music,6.5,1950,\N
226,41412,tt0042156,"Tom Corbett, Space Cadet","Action,Adventure,Family",4.9,1950,1955
227,41413,tt0042157,Toni Twin Time,Music,5.7,1950,\N
228,41414,tt0042158,The Trap,Drama,5.0,1950,\N
229,41415,tt0042159,Treasury Men in Action,"Crime,Drama",5.4,1950,1955
230,41416,tt0042160,Van Camp's Little Show,Music,7.9,1950,1951
231,41417,tt0042161,The Vaughn Monroe Show,Music,7.1,1950,1951
232,41418,tt0042162,Village Barn,Music,5.7,1950,\N
233,41419,tt0042163,Visit with the Armed Forces,"Documentary,War",6.6,1950,1951
234,41420,tt0042164,Waiting for the Break,Music,8.0,1950,\N
235,41421,tt0042165,Watch the World,\N,8.0,1950,\N
236,41422,tt0042166,We Take Your Word,"Family,Game-Show",5.6,1950,1951
237,41423,tt0042167,The Web,Drama,4.1,1950,1954
238,41424,tt0042168,What's My Line?,"Family,Game-Show",6.5,1950,1967
239,41426,tt0042170,You Asked for It,Family,5.5,1950,1959
240,41427,tt0042171,You Bet Your Life,"Comedy,Family,Game-Show",8.1,1950,1961
241,41428,tt0042172,Your Hit Parade,"Family,Music",6.0,1950,1959
242,41429,tt0042173,Your Show of Shows,Comedy,5.9,1950,1954
243,41430,tt0042174,Your Story Theatre,Drama,9.1,1950,1951
244,42404,tt0043168,The Ad-Libbers,"Comedy,Game-Show",6.2,1951,\N
245,42405,tt0043169,The Adventures of Kit Carson,Western,6.7,1951,1960
246,42406,tt0043170,Adventures of Wild Bill Hickok,"Family,Western",7.0,1951,1958
247,42407,tt0043171,All Around the Town,"Music,Talk-Show",6.4,1951,1952
248,42408,tt0043173,The Amazing Mr. Malone,"Crime,Drama",7.2,1951,1952
249,42409,tt0043174,American Inventory,Drama,6.8,1951,1955
250,42410,tt0043175,The Amos 'n Andy Show,Comedy,7.5,1951,1953
251,42411,tt0043176,The Art Ford Show,Game-Show,6.3,1951,\N
252,42412,tt0043177,The Better Home Show,\N,5.4,1951,1952
253,42413,tt0043178,The Big Payoff,"Game-Show,Music",6.2,1951,1959
254,42414,tt0043179,The Big Question,"News,Talk-Show",3.0,1951,1952
255,42415,tt0043180,The Bill Gwinn Show,Game-Show,7.3,1951,1952
256,42416,tt0043181,The Bob & Ray Show,Comedy,6.3,1951,1953
257,42417,tt0043182,Boston Blackie,"Crime,Drama",6.3,1951,1953
258,42418,tt0043183,Celanese Theatre,Drama,4.4,1951,1952
259,42419,tt0043184,Cosmopolitan Theatre,"Drama,Family",4.0,1951,\N
260,42420,tt0043185,Crawford Mystery Theatre,"Drama,Game-Show,Mystery",5.6,1951,1952
261,42421,tt0043186,Crime Photographer,Drama,5.5,1951,1952
262,42422,tt0043187,Crime Syndicate,Crime,6.1,1951,1953
263,42423,tt0043188,Crime with Father,Drama,5.2,1951,1952
264,42424,tt0043189,A Date with Judy,Comedy,6.5,1951,1953
265,42425,tt0043190,Daydreaming with Laraine,\N,6.1,1951,\N
266,42426,tt0043191,The Dennis James Show,Comedy,8.7,1952,\N
267,42427,tt0043192,The Dinah Shore Chevy Show,Music,7.0,1956,1963
268,42428,tt0043193,Door with No Name,\N,6.5,1951,1953
269,42429,tt0043194,Dragnet,"Crime,Drama,Mystery",6.3,1951,1959
270,42430,tt0043195,Ernie in Kovacsland,Comedy,6.1,1951,\N
